census_section,non_spanish_population
0801905051,234
0801905052,178
0801905053,173
0801905054,145
0801905055,167
0801905056,247
0801905057,219
0801905058,351
0801905059,309
0801905060,245
0801905061,368
0801905062,323
0801905063,268
0801905064,433
0801905065,422
0801905066,245
0801905067,353
0801905068,330
0801905069,348
0801905070,279
0801905071,569
0801905072,297
0801905073,287
0801905074,287
0801905075,391
0801905076,264
0801905077,296
0801905078,325
0801905079,211
0801905080,278
0801905081,298
0801905082,383
0801905083,189
0801905084,284
0801905085,286
0801905086,262
0801905087,353
0801905088,340
0801905089,376
0801905090,393
0801905091,289
0801905092,254
0801905093,239
0801905094,445
0801905095,345
0801905096,228
0801905097,352
0801905098,261
0801906001,352
0801906002,355
0801906003,570
0801906004,266
0801906006,139
0801906007,396
0801906008,507
0801906009,181
0801906010,185
0801906011,169
0801906012,196
0801906013,444
0801906014,272
0801906015,392
0801906016,361
0801906017,290
0801906018,407
0801906019,321
0801906020,319
0801906021,290
0801906022,330
0801906023,84
0801906024,311
0801906025,141
0801906026,246
0801906027,221
0801906028,377
0801906029,289
0801906030,426
0801906031,288
0801906032,259
0801906033,323
0801906034,260
0801906035,236
0801906036,319
0801906037,227
0801906038,413
0801906039,549
0801906040,502
0801906041,458
0801906042,503
0801906043,516
0801906044,500
0801906045,377
0801906046,293
0801906047,425
0801906048,491
0801906049,375
0801906050,430
0801906051,318
0801906052,399
0801906053,473
0801906054,435
0801906055,344
0801906056,533
0801906057,485
0801906058,511
0801906059,386
0801906060,457
0801906061,361
0801906062,270
0801906063,384
0801906064,397
0801906065,213
0801906066,241
0801906067,489
0801906068,375
0801906069,305
0801906070,498
0801906071,224
0801906072,297
0801906073,269
0801906074,303
0801906075,163
0801906076,235
0801906077,291
0801906078,333
0801906079,227
0801906080,231
0801906081,307
0801906082,1753
0801906083,235
0801906084,271
0801906085,269
0801906086,145
0801906087,194
0801906088,215
0801907001,202
0801907002,163
0801907003,345
0801907004,441
0801907005,282
0801907006,130
0801907007,284
0801907008,219
0801907009,376
0801907010,321
0801907011,352
0801907012,346
0801907013,194
0801907014,222
0801907015,239
0801907016,179
0801907017,397
0801907018,370
0801907019,341
0801907020,416
0801907021,163
0801907022,182
0801907023,299
0801907024,295
0801907025,399
0801907026,194
0801907027,424
0801907028,370
0801907029,266
0801907030,351
0801907031,410
0801907032,290
0801907033,275
0801907034,330
0801907035,269
0801907036,262
0801907037,323
0801907038,233
0801907039,318
0801907040,349
0801907041,390
0801907042,303
0801907043,292
0801907044,193
0801907045,354
0801907046,295
0801907047,278
0801907048,233
0801907049,219
0801907050,316
0801907051,397
0801907052,147
0801907053,178
0801907054,197
0801907055,86
0801907056,167
0801907057,155
0801907058,115
0801907059,331
0801907060,389
0801907061,140
0801907062,253
0801907063,293
0801907064,322
0801907065,530
0801907066,443
0801907067,424
0801907068,352
0801907069,413
0801907070,319
0801907071,190
0801907072,270
0801907073,263
0801907074,365
0801907075,240
0801907076,290
0801907077,272
0801907078,354
0801907079,392
0801907080,325
0801907081,305
0801907082,249
0801907083,292
0801907084,340
0801907085,248
0801907086,415
0801907087,368
0801907088,401
0801907089,296
0801907090,257
0801907091,283
0801907092,479
0801907093,461
0801907094,236
0801907095,356
0801907096,334
0801907097,134
0801907098,196
0801907099,90
0801907100,189
0801907101,230
0801907102,111
0801907103,454
0801907104,230
0801907105,87
0801907106,122
0801907107,105
0801907108,132
0801907109,304
0801907110,99
0801907111,77
0801907112,195
0801907113,189
0801907114,155
0801907115,85
0801907116,152
0801907117,3639
0801907118,197
0801907119,297
0801907120,212
0801907121,296
0801907122,190
0801907123,173
0801908001,161
0801908002,183
0801908003,202
0801908004,323
0801908005,179
0801908006,359
0801908007,130
0801908008,281
0801908009,381
0801908010,170
0801908011,138
0801908012,207
0801908013,220
0801908014,275
0801908015,371
0801908016,234
0801908017,230
0801908018,262
0801908019,496
0801908020,293
0801908021,240
0801908022,215
0801908023,320
0801908024,257
0801908025,318
0801908026,254
0801908027,173
0801908028,131
0801908029,226
0801908030,241
0801908031,191
0801908032,187
0801908033,344
0801908034,361
0801908035,5284
0801908036,437
0801908037,355
0801908038,451
0801908039,373
0801908040,476
0801908041,919
0801908042,189
0801908043,114
0801908044,375
0801908045,526
0801908046,422
0801908047,506
0801908048,95
0801908049,118
0801908050,110
0801908051,93
0801908052,105
0801908053,97
0801908054,178
0801908055,96
0801908056,234
0801908057,206
0801908058,282
0801908059,137
0801908060,90
0801908061,139
