census_section,income_2022_house,income_2022_pers
0801910140,32579,12489
0801910141,32350,12820
0801910142,31223,12100
0801910143,35729,12938
0801910234,40128,16824
0801910235,30442,14812
0801910236,33996,15427
0801910237,30852,13855
0802001001,56821,20063
0802001002,63785,21526
0802001003,57769,19077
0802101001,.,.
0802201001,32567,13447
0802201002,32931,14042
0802201003,49973,20984
0802201004,36402,14980
0802201005,38681,16186
0802201006,33565,13803
0802202001,24032,10723
0802202002,30925,12235
0802202003,37241,15655
0802202004,35759,14965
0802202005,26355,10915
0802203001,44522,17448
0802204001,41036,16489
0802301001,51958,18352
0802301002,37936,14219
0802301003,43964,15243
0802301004,52258,18163
0802301005,41661,15475
0802401001,33643,14719
0802501001,42349,16625
0802601001,77043,23957
0802701001,52149,16990
0802801001,32834,13489
0802901001,52909,19778
0802901002,65820,22463
0803001001,61786,20559
0803001002,65163,21254
0803001003,59634,20053
0803101001,32558,13869
0803101002,34251,13157
0803201001,42843,17674
0803301001,44255,17585
0803301002,37283,14315
0803301003,42235,16763
0803302001,44290,16495
0803303001,38703,15036
0803303002,37625,13685
0803303003,48922,16722
0803303004,44629,16625
0803303005,55044,18147
0803303006,48493,17323
0803401001,43813,16901
0803501001,30519,12506
0803501002,38167,15178
0803501003,26345,11468
0803502001,33338,14397
0803502002,32133,13027
0803503001,32138,12836
0803503002,31506,12578
0803503003,34363,13938
0803503004,40419,14112
0803601001,43188,14243
0803701001,45491,16654
0803801001,36937,15029
0803901001,47569,17971
0804001001,37965,15302
0804001002,34596,14915
0804001003,31966,12691
0804001004,46954,16994
0804001005,33662,14196
0804001006,34548,14496
0804001007,46532,16851
0804001008,40059,14581
0804001009,32332,13214
0804001010,34940,13822
0804101001,39037,13694
0804101002,29909,9652
0804101003,28527,8617
0804101004,31585,10187
0804101005,29087,9121
0804101006,34169,12523
0804101007,47415,17190
0804101008,54435,19165
0804201001,45751,15974
0804201002,44302,15542
0804301001,39737,15150
0804301002,43148,15450
0804301003,37394,13563
0804401001,34525,13784
0804402001,38799,15669
0804402002,40011,15340
0804501001,37179,17217
0804601001,41281,16201
0804601002,60557,20521
0804601003,40313,15665
0804602001,38789,14927
0804602002,43971,15791
0804602003,61744,21039
0804602004,45555,16780
0804602005,46001,15784
0804603001,41912,15550
0804603002,36708,14192
0804701001,33658,14571
0804701002,37972,15962
0804701003,38651,15546
0804702001,39856,14891
0804801001,38632,15023
0804901001,35825,15124
0805001001,43661,16210
0805101001,43617,16406
0805101002,44795,16852
0805101003,39018,14890
0805101004,39538,14930
0805101005,47092,17666
0805101006,49285,16698
0805101007,37170,14263
0805101008,37911,15033
0805101009,51869,18109
0805101010,50806,16759
0805101011,46532,16570
0805101012,44344,15382
0805101013,43871,15770
0805101014,56922,18643
0805201001,35931,15429
0805301001,35951,13608
0805301002,33688,13991
0805401001,44582,15993
0805401002,40649,14666
0805401003,44697,15538
0805401004,49148,17246
0805401005,46717,15994
0805401006,43330,14966
0805501001,41470,16449
0805601001,32382,11298
0805601002,36247,12699
0805601003,56303,19457
0805601004,37255,12876
0805601005,34900,12365
0805601006,40289,14575
0805601007,49592,18541
0805601008,61986,19982
0805601009,37156,13245
0805601010,51204,16838
0805602001,36403,14342
0805602002,42564,15300
0805602003,36959,13934
0805602004,43206,16572
0805602005,54644,20173
0805602006,37913,14527
0805602007,36149,12949
0805603001,34599,12282
0805603002,73911,23293
0805603003,38980,13491
0805603004,52715,19255
0805603005,65307,23131
0805603006,68602,23036
0805604001,66554,21939
0805604002,52394,19744
0805604003,60069,21275
0805604004,46373,18360
0805604005,71526,23070
0805604006,43516,17676
0805604007,47158,17743
0805605001,41358,16660
0805605002,59919,22537
0805605003,45591,18359
0805605004,62517,22537
0805605005,65451,21245
0805605006,56576,20999
0805605007,48763,18740
0805701001,37179,17217
0805801001,35893,14505
0805901001,48901,17782
0806001001,35069,15586
0806101001,40728,15199
0806201001,49633,17077
0806301001,52527,18610
0806401001,34932,14130
0806401002,39700,15801
0806501001,39938,14750
0806601001,51478,17767
0806701001,39136,15867
0806701002,36034,15104
0806701003,39086,15381
0806701004,38211,15001
0806801001,43661,16438
0806801002,43678,16343
0806801003,52229,17927
0806801004,53102,18143
0806801005,53154,18392
0806901001,57727,20453
0806901003,49490,17747
0806901004,68598,22386
0807001001,40081,14293
0807101001,41888,16412
0807201001,48224,16801
0807201002,45644,16265
0807201003,34624,13043
0807201004,60170,21066
0807201005,49485,16959
0807201006,45719,16439
0807201007,62088,21009
0807201008,59885,20262
0807201009,44931,16826
0807201010,45811,16686
0807201011,48111,16517
0807301001,39852,15727
0807301002,42127,17028
0807301003,35378,13841
0807301004,38782,15628
0807301005,38841,15410
0807301006,40523,16533
0807301007,45147,18206
0807301008,41280,16096
0807301009,37890,15239
0807301010,37973,15979
0807301011,33634,13519
0807301012,35321,13197
0807301013,38909,15564
0807301014,43622,17383
0807302001,44774,17195
0807302002,37485,14735
0807302003,48865,18143
0807302004,49222,17233
0807303001,40835,16109
0807303002,30763,12885
0807303003,35294,13533
0807303004,51893,19909
0807303005,41725,17218
0807303006,39883,15715
0807303007,36574,14276
0807303008,39173,14838
0807303009,32904,12200
0807303010,45651,16914
0807304001,39172,15657
0807304002,35204,14209
0807304003,38809,15800
0807304004,30248,12400
0807304005,31887,13877
0807304006,31143,13120
0807304007,34598,12898
0807304008,36264,13962
0807304009,33203,13353
0807304010,34195,13573
0807304011,34775,13618
0807304012,36375,13748
0807304013,35791,14360
0807304014,37253,14867
0807304015,37967,14113
0807304016,34225,14023
0807304017,33167,13386
0807304018,34647,13326
0807304019,34045,13108
0807305001,28372,10482
0807305002,25911,9421
0807305003,27442,10844
0807305005,26144,10166
0807305006,31424,11862
0807305007,26779,9430
0807305008,25474,8960
0807305009,36224,15349
0807305010,29472,11330
0807306001,28120,9925
0807306004,30308,11623
0807306005,27852,10410
0807306007,30634,11820
0807306008,26862,10355
0807306009,30543,13375
0807306010,26907,9727
0807306013,27591,10326
0807306014,29085,10562
0807306015,36658,15862
0807401001,32269,13185
0807401002,38952,14105
0807401003,38837,15869
0807401004,36096,14723
0807401005,45850,18692
0807401006,38628,14407
0807401007,30625,15463
0807401008,39163,15973
0807401009,32054,13780
0807401010,37579,15193
0807501001,47893,16578
0807501002,44483,15219
0807501003,41317,15951
0807601001,36495,14460
0807601002,38460,14853
0807601003,38913,15102
0807601004,39990,15308
0807601005,35289,14115
0807601006,53125,18024
0807602001,35094,13584
0807602002,44232,15955
0807602003,40575,15967
0807602004,43363,16863
0807602005,32226,12948
0807701001,67058,23981
0807701002,40983,16098
0807701003,48288,18706
0807701004,41380,16034
0807701005,44006,17230
0807702001,44729,18286
0807702002,37014,13880
0807702003,37892,14541
0807702004,41003,15945
0807702005,41556,15957
0807702006,50844,18705
0807703001,46807,17934
0807703002,38455,15145
0807704001,84946,28369
0807705001,98221,34765
0807707001,88325,30183
0807708001,42026,16466
0807708002,41085,16218
0807709001,41300,15951
0807709002,46648,17577
0807710001,34519,14005
0807710002,40474,14893
0807710003,35138,13340
0807710004,29766,10248
0807710005,29566,10447
0807710006,33020,12512
0807710007,35619,13557
0807710008,30175,10568
0807801001,47740,16032
0807901001,35613,16123
0808001001,37179,17217
0808101001,40764,14644
0808201001,37702,14307
0808301001,48980,17490
0808401001,44582,16381
0808501001,41618,15421
0808601001,50463,18083
0808601002,30901,10545
0808601003,32792,10962
0808601004,38032,14640
0808601005,39334,14006
0808601006,47004,16195
0808601007,43280,16051
0808601008,31453,11634
0808601009,39940,15253
0808601010,37860,13797
0808602001,51920,18556
0808701001,54233,22061
0808801001,42272,16660
0808801002,42527,15740
0808801003,41356,15070
0808801004,46701,19307
0808802001,67413,21831
0808802002,42333,16293
0808802003,42470,16440
0808802004,55855,19132
0808802005,51671,19037
0808802006,39555,16039
0808901001,41252,15210
0808901002,43621,17463
0808901003,38779,15212
0808901004,38736,15043
0808901005,35465,13238
0808901006,42496,14906
0808901007,51792,20756
0808901008,77242,25730
0808902001,43765,16586
0808902002,52351,20400
0808902003,42087,16088
0808902004,35801,13562
0808902005,39977,13640
0808902006,32652,12867
0808902007,38302,14019
0808902008,39626,15231
0808902009,40513,15126
0808902010,35907,12898
0808903001,38072,14612
0808903002,37644,14345
0808903003,41165,15111
0808903004,36050,13903
0808903005,34186,12044
0808903006,37485,14749
0808903007,47897,16615
0808903008,42040,14751
0808903009,54236,18361
0808904001,41264,15868
0808904002,33812,12579
0809001001,48231,17639
0809101001,43230,16306
0809101002,37088,14453
0809102001,38442,15388
0809201001,36967,15092
0809202001,33481,14120
0809202002,34832,13957
0809202003,33499,14141
0809301001,37179,17217
0809401001,41455,15475
0809501001,.,.
0809601001,48075,20404
0809601003,44162,16789
0809601004,42246,16566
0809601005,43854,18563
0809601006,27391,10038
0809601009,30612,10483
0809601010,34094,12429
0809601011,36830,12651
0809602001,44108,17252
0809602002,47681,19455
0809602003,47224,19041
0809602004,34626,12279
0809602005,38307,13979
0809602006,43125,16080
0809602007,37357,14204
0809603001,46485,18538
0809603002,36694,13093
0809603003,34390,13456
0809603004,47591,17420
0809603005,37695,15795
0809603006,47699,18387
0809603007,35482,12979
0809603008,33134,11703
0809603009,54196,19193
0809603010,44377,15718
0809604001,47840,18760
0809604002,37601,14347
0809604003,31829,12389
0809604004,34326,12361
0809604006,35491,13784
0809604007,43138,16564
0809604008,33162,13031
0809604009,32168,12356
0809604010,48318,17531
0809604011,45520,18267
0809701001,42460,16525
0809801001,48869,16780
0809801002,35325,13579
0809901001,31200,14766
0810001001,61550,18111
0810001002,73650,22208
0810101001,44499,17235
0810101002,35922,14403
0810101003,39274,15113
0810101004,42972,17306
0810101005,40321,16522
0810101006,35540,14699
0810101007,37304,14526
0810101008,41893,17295
0810101009,41131,17027
0810101010,36200,15389
0810101011,43924,18264
0810101012,45340,16967
0810101013,47352,19097
0810101014,34050,13728
0810101015,36337,14564
0810101016,34811,13837
0810101017,36585,14334
0810101018,34857,13102
0810101019,36093,15301
0810101020,39771,15306
0810101021,30557,11225
0810101022,33642,13252
0810101023,38340,15458
0810101024,40502,16753
0810101025,34297,13430
0810101026,32899,12962
0810101027,35137,14046
0810101028,35958,14001
0810101029,36515,14094
0810101030,37350,14898
0810101031,33063,13139
0810101032,38763,15913
0810101033,42750,17295
0810101034,41572,16311
0810101035,37842,15234
0810101036,35088,14053
0810101037,39810,14690
0810101038,38884,15780
0810101039,34204,13001
0810101040,29878,10576
0810101041,54477,18884
0810102001,41510,16118
0810102002,28729,9887
0810102004,29643,10706
0810102005,36230,13449
0810102007,34555,12012
0810102008,39590,16860
0810102009,33929,12577
0810102010,32232,13680
0810102011,27502,9330
0810102012,30457,10415
0810102013,29637,9802
0810102014,30999,10452
0810102016,31882,11268
0810102017,30449,10169
0810102020,30501,10634
0810102021,30384,10192
0810102023,31611,10094
0810102024,30191,10533
0810102026,33073,11640
0810102028,27588,9297
0810102029,30146,9118
0810102031,28934,9463
0810102032,29605,10194
0810102033,27528,9716
0810102034,29811,11179
0810102036,28366,10231
0810102037,29503,10179
0810102038,30813,11158
0810102039,31329,11972
0810102040,30846,9854
0810102042,28742,9837
0810102043,32753,11708
0810102045,28909,9840
0810102046,30260,9420
0810102047,30544,9898
0810102048,31438,10615
0810102049,31619,11500
0810103001,32428,13661
0810103002,31720,12776
0810103003,29907,12353
0810103004,38936,15468
0810103005,39275,14907
0810103006,35240,13210
0810103007,39776,16787
0810103008,41428,16063
0810103009,39005,15268
0810103010,33526,12989
0810103011,34715,12323
0810103012,33553,13951
0810103013,37667,14276
0810103014,37445,14086
0810103015,36891,14386
0810103016,44300,17968
0810103017,32340,10959
0810103018,42650,16181
0810103019,41274,15588
0810103020,43647,16293
0810103021,41803,16417
0810103022,34350,12592
0810103023,37918,14097
0810103024,34393,12484
0810103025,40487,16399
0810103026,49065,18328
0810103027,45375,17304
0810103028,46963,16338
0810103029,43330,16028
0810104001,34631,11712
0810104002,28660,9779
0810104003,34073,12034
0810104004,32165,10168
0810104005,29064,10059
0810104006,30835,10648
0810104007,27696,9272
0810104009,28927,9949
0810104010,35184,12258
0810104011,32090,11236
0810104012,31212,11715
0810104014,27382,8983
0810104016,28377,9198
0810104018,31626,10283
0810104019,27862,9008
0810104020,30806,9861
0810104021,31414,10168
0810104022,30323,9174
0810104023,30856,9562
0810104025,30652,10437
0810104026,28779,9538
0810104027,25947,8479
0810104030,32759,9940
0810104031,28205,8586
0810104032,30948,10670
0810104033,25571,8219
0810104035,22882,8112
0810104036,30581,9684
0810104037,28877,9609
0810104040,32799,10923
0810104041,34045,12505
0810105001,36250,14927
0810105002,32008,11619
0810105003,35334,15150
0810105004,30087,13192
0810105005,32260,13814
0810105006,35648,14075
0810105007,32801,11510
0810105008,29851,10055
0810105010,30783,10970
0810105011,30724,10198
0810105013,27556,9355
0810105014,28702,9701
0810105017,27782,8934
0810105018,29391,10265
0810105020,30906,10857
0810105021,33717,14360
0810105023,31757,10935
0810105024,27237,8768
0810105025,29168,9666
0810105026,28376,9468
0810105028,31705,11267
0810105029,28787,10000
0810105030,35299,12673
0810105031,29321,10158
0810105032,29558,10898
0810105033,28554,9738
0810105034,30007,10214
0810105035,36654,13893
0810105037,31436,11356
0810105038,31635,10848
0810106001,34456,13028
0810106002,32534,11909
0810106005,37713,14433
0810106006,31241,11585
0810106007,30707,11987
0810106008,33338,13040
0810106009,35256,13431
0810106010,35069,13344
0810106011,33659,12440
0810106012,32029,13314
0810106013,32983,13267
0810106014,34512,14101
0810106015,33719,14317
0810106016,34026,11887
0810106017,34901,13274
0810106018,44919,17038
0810106019,34702,13804
0810106021,36085,14207
0810106022,34908,14009
0810106023,34604,13900
0810106024,36073,13778
0810106025,36688,14526
0810106026,34329,13426
0810106027,37190,15187
0810106030,35667,13639
0810106031,34718,13541
0810106032,34602,12689
0810201001,29733,11934
0810202001,38026,16009
0810202002,33898,14654
0810202003,42133,16321
0810203001,34052,12713
0810203002,51691,17739
0810203003,37369,15685
0810203004,40738,16047
0810203005,29946,11866
0810203006,44777,16400
0810203007,44884,16908
0810203008,41869,15513
0810203009,49167,17729
0810203010,49627,16756
0810204001,33048,13219
0810204002,36645,14777
0810204003,33247,14408
0810204004,38701,15071
0810204005,40130,16364
0810205001,34729,13145
0810205002,34233,13110
0810205003,36380,14451
0810205004,39423,15165
0810205005,25734,9681
0810205007,36381,14657
0810301001,41289,16375
0810401001,36459,15198
0810501001,35520,13712
0810501002,35680,14027
0810501003,33654,12365
0810501004,33875,13297
0810501005,31607,11865
0810501006,29340,11473
0810501007,30706,11651
0810501008,42239,15342
0810501009,41922,14750
0810601001,35968,14068
0810601002,35555,13996
0810602001,46219,17419
0810602002,47407,16945
0810602003,48661,17474
0810602004,49765,16753
0810701001,47024,17011
0810701002,45781,16922
0810701003,49468,16209
0810701004,45196,14655
0810701005,47451,16110
0810701006,45878,15742
0810701007,53877,17804
0810701008,47368,16221
0810701009,43419,14826
0810701010,46225,15675
0810801001,51367,17455
0810801002,55123,18453
0810801003,53705,18593
0810801004,41445,15032
0810901001,37230,14059
0811001001,35110,14115
0811001002,33783,14127
0811001003,32677,12332
0811001004,32592,12296
0811001005,33916,13092
0811001006,34997,13483
0811002001,38415,15271
0811002002,34637,14060
0811002003,31322,14186
0811101001,63734,20366
0811201001,41209,15031
0811201002,33452,12930
0811202001,38996,14523
0811202002,37834,13273
0811202003,34635,12520
0811202004,33578,11309
0811203001,38270,13099
0811203002,35972,12040
0811203003,31412,10014
0811203004,39022,13278
0811204001,37484,13624
0811204002,41575,15381
0811301001,26077,11277
0811301002,26562,11025
0811302001,38247,16403
0811302002,42558,18411
0811302003,39225,15722
0811302004,41666,17530
0811302005,36753,15091
0811302006,35367,14077
0811302007,36593,15350
0811302008,31771,13341
0811302009,31902,11691
0811302010,43054,17738
0811302011,39470,16681
0811302012,47542,18462
0811302013,33070,12959
0811302014,35958,14211
0811303001,25868,11401
0811303002,25783,11462
0811303004,30490,12119
0811303005,32900,12775
0811303006,31676,12122
0811304001,32148,13530
0811304003,31292,12845
0811304004,41919,16720
0811304005,36470,14489
0811304006,34269,14110
0811304007,38473,15276
0811304008,35173,14256
0811304009,35374,14065
0811304011,32567,13115
0811304012,34554,13500
0811304013,37633,14286
0811304014,46630,18853
0811304015,41389,15832
0811305001,29135,11126
0811305002,26225,10254
0811305003,35177,13772
0811305004,35249,13246
0811305005,32284,12601
0811305006,32206,12400
0811305007,30748,11462
0811305008,44864,16035
0811305010,28236,12464
0811305011,34922,13000
0811305012,31766,12385
0811305013,36723,14784
0811305014,36115,14138
0811305015,27357,12226
0811305017,48251,17436
0811305018,35763,13917
0811306001,23143,9431
0811306002,41397,15782
0811401001,36204,13020
0811401002,33517,10626
0811401003,35879,12402
0811402003,34909,11702
0811403002,31429,11567
0811403004,30949,11702
0811403005,32083,10317
0811403006,36559,12043
0811403007,41370,15895
0811403008,47896,16837
0811403010,49780,18130
0811404001,50801,17539
0811404002,50823,18052
0811404003,42794,15489
0811404004,42075,15468
0811501001,37939,14276
0811501002,48723,18757
0811501003,37689,14521
0811601001,47303,16699
0811701001,43905,15907
0811702001,40738,15313
0811801001,59297,21455
0811801002,47274,18209
0811801003,43741,17890
0811801004,52981,19842
0811801005,43807,17282
0811801006,39489,15033
0811801007,44683,16973
0811801008,36171,14166
0811801009,43690,18477
0811801010,54310,20730
0811802001,50270,19604
0811802002,53960,20918
0811802003,40639,16047
0811802004,44292,17768
0811901001,39793,14427
0811901002,39516,14748
0812001001,88404,26700
0812001002,68613,22612
0812001003,82277,25152
0812001004,79120,24626
0812101001,42820,19050
0812101002,46196,19077
0812101003,47931,20381
0812101004,48362,20384
0812101005,49287,19947
0812101006,46830,19827
0812101007,44599,18132
0812101009,45146,18886
0812102001,43850,18063
0812102002,33174,14109
0812102003,33781,13224
0812102004,26167,8521
0812102005,42248,15535
0812102007,38378,15905
0812102008,45355,18324
0812102009,41851,17602
0812102010,36562,15431
0812102011,40414,16753
0812102012,37506,15055
0812103001,30695,10053
0812103002,25652,7433
0812103003,28785,9423
0812103004,28049,8750
0812103005,26904,8988
0812103006,42685,14964
0812103007,30472,11435
0812103008,30590,12009
0812103009,35168,13136
0812103010,43104,18088
0812103011,33700,13532
0812103012,59354,19462
0812103013,42460,14935
0812103014,45359,15674
0812104001,33691,12997
0812104002,30774,11255
0812104003,29224,11032
0812104004,39500,14507
0812104005,37055,14160
0812104006,43863,16487
0812104007,33145,11937
0812104008,48197,17455
0812104009,36014,13576
0812105001,37985,13920
0812105002,30633,11050
0812105003,30928,10779
0812105004,33688,12667
0812105005,29770,11176
0812105006,30205,10465
0812105007,29789,11284
0812105008,29600,9833
0812105009,29039,10182
0812105010,27236,8254
0812105011,27697,8986
0812105012,31620,10600
0812105013,28123,9913
0812105015,30134,10873
0812105016,30317,11228
0812105017,28035,9072
0812105019,30459,10434
0812105020,27635,9399
0812105021,39821,14176
0812106001,39195,16021
0812106002,45113,18056
0812106003,42037,17372
0812106004,41047,16525
0812106005,33100,13248
0812106006,37022,15270
0812106007,34272,13351
0812106008,34910,14018
0812106009,34020,14342
0812106010,34459,13001
0812106011,39145,15909
0812106012,31207,11629
0812106013,33928,14015
0812106014,36067,14821
0812201001,34133,14122
0812301001,39092,16790
0812301002,41673,17536
0812301003,38974,16312
0812302001,43417,16070
0812302002,43401,17052
0812302003,35046,13979
0812302004,41736,15305
0812303001,46014,17158
0812303002,57974,21869
0812303003,57606,21173
0812303004,45004,16504
0812304001,39326,15387
0812401001,32704,13679
0812401002,32615,13194
0812401003,33031,12765
0812401004,41300,17048
0812401005,36741,13878
0812401006,35191,13456
0812401007,37469,13596
0812402001,36556,14839
0812402002,41950,16813
0812402003,35534,13991
0812402004,38543,14191
0812402005,39741,15926
0812402006,34312,13348
0812402007,39582,15201
0812402008,41293,17188
0812402009,52144,18425
0812403001,34369,13469
0812403002,33955,13277
0812403003,39412,15550
0812403004,39564,15782
0812403005,50724,18447
0812403006,26328,8498
0812403007,29211,12004
0812403008,33707,13742
0812403009,34774,13896
0812403010,37259,14462
0812403011,42660,14727
0812403012,36344,13557
0812403013,43892,15064
0812403014,38059,14500
0812403015,38143,13815
0812501001,36119,14517
0812501002,40302,15203
0812501004,32767,12775
0812501005,38513,14361
0812502001,23817,7985
0812502002,37205,14825
0812502003,39159,15841
0812503001,37089,13990
0812503002,41010,14353
0812503003,34552,13793
0812503004,48718,16733
0812503005,40415,15243
0812503006,43207,15969
0812504001,42942,16271
0812504002,43163,15700
0812504003,46663,16024
0812505001,29924,11030
0812505002,30322,11787
0812505003,29132,10064
0812506001,40429,14123
0812506002,39125,13648
0812506003,32618,12602
0812601001,55489,19467
0812601002,38208,15299
0812601003,40701,16459
0812601004,43079,17718
0812701001,31786,12999
0812701002,34688,14358
0812801001,35148,14567
0812901001,45143,16724
0813001001,39040,14224
0813101001,33745,14255
0813201001,37278,13507
0813301001,45294,15175
0813401001,37388,15831
0813501001,41109,15397
0813501002,35488,13872
0813501003,41130,15461
0813501004,35370,13969
0813501005,41447,15887
0813601001,41277,14513
0813601002,34950,13634
0813601003,37466,14322
0813601004,43126,15764
0813601005,44685,16246
0813601006,49562,17213
0813601007,45474,16651
0813602001,24307,8204
0813602002,32817,12510
0813602003,28283,10396
0813701001,44358,18893
0813801001,41361,15891
0813801002,35476,14124
0813801003,38564,14634
0813901001,38011,17828
0814001001,33155,14149
0814001002,39445,16095
0814001003,45278,16948
0814101001,36949,15951
0814101002,34698,14258
0814101003,35177,13994
0814101004,39161,15769
0814102001,40742,14435
0814201001,36288,14515
0814301001,41038,14868
0814301002,34662,13335
0814401001,35552,14783
0814501001,43355,15073
0814501002,43323,16137
0814601001,43151,15674
0814601002,40135,15089
0814701001,35506,12669
0814701002,38638,14739
0814701003,39757,14574
0814701004,45332,16711
0814701005,40571,15157
0814701006,36294,14031
0814701007,35630,13953
0814701008,36685,13990
0814701009,46248,16506
0814701010,36414,13686
0814701011,46882,15425
0814701012,39238,14699
0814801001,38849,13514
0814801002,41252,14605
0814901001,43255,17238
0815001001,50215,16786
0815101001,43733,16081
0815201001,41855,15760
0815301001,45125,16837
0815401001,55356,19228
0815501001,37013,13697
0815501002,37148,14063
0815501003,31072,12258
0815501004,36318,13891
0815501005,35119,13755
0815501006,39297,14785
0815601001,38387,13969
0815601002,49827,16609
0815601003,51048,17850
0815601004,48408,16792
0815601005,50342,18268
0815601006,49042,17180
0815601007,50699,17174
0815601008,45059,15857
0815601009,46098,15231
0815701001,46994,17051
0815701002,39219,14290
0815701003,41679,16263
0815701004,68392,22378
0815701005,44465,16252
0815801001,47826,17575
0815801002,38713,15072
0815901001,42220,16037
0815901002,43826,15405
0815901003,45682,16832
0815901004,42160,16093
0815902001,41437,15927
0815902002,43665,16629
0815902003,39890,15517
0815902004,47039,17147
0815902005,51770,18039
0815902006,47088,16453
0815902007,44276,15521
0816001001,40832,16003
0816101001,36507,14043
0816101002,34542,12746
0816101003,36284,12992
0816101004,35918,13051
0816101005,38560,14172
0816101006,38321,13977
0816101007,37126,14273
0816101008,38613,14253
0816101009,37131,14086
0816201001,39013,14873
0816301001,32034,12957
0816301002,32642,14284
0816301003,40393,14947
0816301004,30943,12749
0816301005,35238,13741
0816301006,28697,12715
0816301007,33476,13405
0816301008,27403,10346
0816301009,29348,12430
0816301010,30981,13787
0816301011,33884,13814
0816301012,29186,10284
0816301013,32272,12656
0816301014,30936,12099
0816401001,34660,14389
0816501001,40052,14893
0816601001,33909,15731
0816701001,40311,14469
0816701002,36646,13533
0816701003,45441,15417
0816701004,44092,14985
0816701005,41777,15687
0816801001,29482,12920
0816901001,44378,16869
0816901002,48666,18831
0816901003,46243,18772
0816901004,36351,14361
0816901005,39496,15552
0816902001,40106,16000
0816902002,42324,16845
0816902003,35841,14126
0816902004,36513,13656
0816902005,36771,15413
0816902006,43258,16467
0816902007,39795,15538
0816903001,43071,17130
0816903002,39607,14594
0816903003,37194,14181
0816903004,32760,12989
0816903005,38425,15084
0816903006,37759,14871
0816903007,37834,15180
0816903008,38166,13652
0816903009,37420,14362
0816903010,39709,14727
0816903011,42381,15157
0816903012,43056,15457
0816903013,46419,16373
0816904001,33439,14159
0816904002,32041,11692
0816904003,30408,10776
0816904004,30872,10323
0816904005,29883,10146
0816904006,22421,6366
0816905001,36774,14727
0816905002,37006,14510
0816905003,33582,13596
0816905004,45242,16692
0816905005,35167,14523
0816905006,39972,14977
0816905007,37239,14174
0816905008,47071,17619
0816905009,48045,17173
0817001001,36471,15208
0817101001,41643,15674
0817101002,36971,14831
0817201001,46559,18003
0817201002,41363,16644
0817201003,41690,16799
0817202001,40498,16827
0817202002,30993,12221
0817202003,33304,12594
0817202004,30485,10574
0817203001,39851,15930
0817203002,33183,12566
0817203003,39405,14945
0817203004,45045,16598
0817203005,27395,10841
0817203006,49729,19129
0817203007,47300,17456
0817203008,47170,18075
0817203009,58796,22086
0817401001,41157,14822
0817501001,33661,14309
0817501002,36068,14764
0817502001,36184,16401
0817601001,43414,16306
0817701001,37179,17217
0817801001,51854,18856
0817901001,40737,15538
0818001001,35794,13631
0818001002,39544,15167
0818001003,36006,14316
0818001004,33300,13563
0818001005,35543,13198
0818001006,29559,11724
0818001007,30912,11927
0818001008,36142,13574
0818001009,44623,16730
0818001010,41105,15396
0818001011,42705,15547
0818001012,40668,14783
0818001013,43330,15526
0818002001,32744,12871
0818002002,37859,13936
0818002003,33258,12222
0818002004,33677,13387
0818002005,28570,10684
0818002006,30426,12227
0818002007,30203,10606
0818101001,63185,21537
0818101002,41509,16676
0818101003,42042,15909
0818101004,50539,18102
0818101005,45953,16950
0818201001,36398,13713
0818301001,37458,14490
0818301002,42406,15691
0818301003,36653,13492
0818302001,36825,14492
0818401001,47506,16316
0818401002,34165,12777
0818401003,41438,15107
0818401004,50504,17111
0818402001,42058,14563
0818402003,44108,15035
0818402004,44180,15995
0818402005,42428,14727
0818402006,43495,15138
0818403001,45491,15850
0818403003,29358,10411
0818403004,30685,10692
0818403005,35967,13438
0818403006,33453,12136
0818403007,37640,14346
0818403008,29332,10220
0818403009,46949,16204
0818404001,37332,14011
0818404002,37731,14775
0818404003,37730,14269
0818404004,35354,13660
0818404005,40862,15334
0818404006,36017,13446
0818404007,37268,14384
0818404008,35032,12583
0818404009,40029,14827
0818404010,36200,13212
0818404011,36031,13884
0818404012,34168,13429
0818404013,34661,12093
0818404014,39945,15326
0818404015,32383,12742
0818404016,38568,13174
0818404018,35157,13262
0818404019,32914,11650
0818404020,35183,13650
0818404021,45935,15698
0818404022,47404,17228
0818404023,34149,12512
0818404024,40539,14967
0818404025,34923,12661
0818404026,36977,14222
0818501001,51062,15359
0818701001,47404,21702
0818701002,62295,24391
0818701003,50309,20142
0818701004,55705,21659
0818701005,51940,20678
0818701006,66636,25734
0818701007,52071,20591
0818701008,52882,21057
0818701009,55918,22141
0818701010,58794,22646
0818701011,53832,21390
0818701012,44793,18366
0818701013,44858,18084
0818701014,49518,19792
0818701015,54154,21275
0818701016,49962,19946
0818701017,40979,16619
0818701018,40900,15695
0818701019,44991,18148
0818701020,42695,17240
0818701021,32283,14641
0818701022,43094,18003
0818701023,34145,13418
0818701024,37080,14504
0818701025,34690,13493
0818701026,39778,16768
0818701027,34490,13927
0818701028,47665,18101
0818701029,44210,17357
0818701030,51120,21747
0818701031,49969,20646
0818701032,50523,21019
0818701033,39850,15844
0818701034,39220,16713
0818701035,35542,14901
0818701036,53009,22735
0818701037,57491,22230
0818701038,40998,16862
0818702001,49377,20885
0818702002,46616,18913
0818702003,36122,15656
0818702004,43242,17412
0818702005,44181,18022
0818702006,36141,14942
0818702007,37771,16397
0818702008,45052,17888
0818702009,47628,18927
0818702010,44614,18188
0818702011,28622,9990
0818702012,31538,11051
