census_section,income_2022_house,income_2022_pers
0801902031,47802,20248
0801902032,43925,19674
0801902033,40816,18900
0801902034,38638,17209
0801902035,42794,20008
0801902036,48252,20632
0801902037,49845,21612
0801902038,48901,20868
0801902039,42934,18329
0801902040,38595,16444
0801902041,40835,18547
0801902042,48640,20863
0801902043,48014,19516
0801902044,40072,16881
0801902045,48756,20200
0801902046,41654,17007
0801902047,45913,18239
0801902048,43355,17771
0801902049,39379,17545
0801902050,40252,18491
0801902051,38227,16481
0801902052,43630,19154
0801902053,42645,19573
0801902054,45937,19388
0801902055,47019,20445
0801902056,47577,20737
0801902057,59899,25636
0801902058,52619,23306
0801902059,58525,23195
0801902060,49792,21540
0801902061,44305,19849
0801902062,55422,23161
0801902063,65709,27244
0801902064,66794,27497
0801902065,48394,20692
0801902066,49143,21195
0801902067,42982,19030
0801902068,46633,19626
0801902069,51046,22385
0801902070,54515,23770
0801902071,57959,24664
0801902072,63483,26310
0801902073,57060,23724
0801902074,63584,25788
0801902075,54726,23374
0801902076,66463,26807
0801902077,52902,22220
0801902078,56001,24597
0801902079,67110,28148
0801902080,59893,24917
0801902081,59415,26267
0801902082,66249,28514
0801902083,66319,28846
0801902084,51129,23283
0801902085,50965,23564
0801902086,59048,25124
0801902087,51481,22670
0801902088,55309,24489
0801902089,50653,22966
0801902090,47116,20891
0801902091,51644,21763
0801902092,46768,21086
0801902093,49004,21306
0801902094,49600,21875
0801902095,50362,21608
0801902096,45528,19754
0801902097,45213,19923
0801902098,47474,22495
0801902099,56357,23186
0801902100,47058,22180
0801902101,50737,21523
0801902102,56389,25221
0801902103,40096,18512
0801902104,53450,23085
0801902105,43077,19338
0801902106,56592,24466
0801902107,55974,24473
0801902108,55925,25292
0801902109,60747,26362
0801902110,45731,20865
0801902111,47398,20801
0801902112,58931,26051
0801902113,58944,24800
0801902114,46552,21272
0801902115,43555,19585
0801902116,56591,24287
0801902117,49081,20244
0801902118,55573,23707
0801902119,49656,22443
0801902120,46650,20564
0801902121,50019,22931
0801902122,54554,23418
0801902123,42719,20187
0801902124,50823,21934
0801902125,48038,20970
0801902126,50593,22433
0801902127,43100,19771
0801902128,42814,19179
0801902129,47033,20206
0801902130,71411,28734
0801902131,46236,20749
0801902132,47287,20926
0801902133,45568,20828
0801902134,43598,19320
0801902135,41004,18307
0801902136,47659,20511
0801902137,42431,18125
0801902138,48237,20514
0801902139,42143,19477
0801902140,46117,20282
0801902141,43733,18964
0801902142,42414,17617
0801902143,46466,19780
0801902144,49659,21458
0801902145,47168,19195
0801902146,46123,18794
0801902147,43652,18757
0801902148,45765,21273
0801902149,39990,16465
0801902150,42418,16973
0801902151,45898,19515
0801902152,48760,21188
0801902153,47854,20894
0801902154,38924,16007
0801902155,41484,17507
0801902156,44607,19829
0801902157,41462,17667
0801902158,44494,18509
0801902159,44862,18382
0801902160,47447,21124
0801902161,45026,18916
0801902162,40102,17348
0801902163,45275,20167
0801902164,43242,19055
0801902165,45875,19725
0801902166,42074,18076
0801902167,45869,19007
0801902168,41414,18345
0801902169,41613,19018
0801902170,44855,18882
0801902171,37974,16439
0801902172,37406,17377
0801902173,41235,18746
0801903001,38082,15862
0801903002,32193,14589
0801903003,33680,13788
0801903004,36760,16680
0801903005,32872,14786
0801903006,36397,14902
0801903007,33575,14238
0801903008,32109,14300
0801903009,35517,15390
0801903010,34181,13555
0801903011,29699,12299
0801903012,33650,14364
0801903013,30729,13403
0801903014,32752,13247
0801903015,33203,13794
0801903016,34490,13557
0801903017,31347,12964
0801903018,36745,14281
0801903019,33354,13576
0801903020,39638,16028
0801903021,39341,16231
0801903022,35621,15819
0801903023,33132,13696
0801903024,32309,13670
0801903025,30218,12529
0801903026,34195,14756
0801903027,36432,15650
0801903028,42402,17225
0801903029,34892,13990
0801903030,36367,15260
0801903031,34605,14441
0801903032,30788,12569
0801903033,29427,11469
0801903034,35738,14373
0801903035,39118,15421
0801903036,40517,16537
0801903037,40350,16232
0801903038,31515,11990
0801903039,28306,11148
0801903040,41198,19163
0801903041,39611,16194
0801903042,38367,16364
0801903043,39034,17278
0801903044,37960,15672
0801903045,37920,16810
0801903046,47021,19760
0801903047,36070,15838
0801903048,43851,20352
0801903049,39639,17105
0801903050,39371,17743
0801903051,34911,14179
0801903052,37979,15744
0801903053,35887,14806
0801903054,42534,17714
0801903055,37423,16735
0801903056,36030,15955
0801903057,36321,16272
0801903058,50868,20476
0801903059,34662,15522
0801903060,42870,18776
0801903061,35424,16203
0801903062,36333,16587
0801903063,41222,16190
0801903064,41233,16987
0801903065,41881,17058
0801903066,38648,15224
0801903067,42204,17000
0801903068,32851,14777
0801903069,43758,17547
0801903070,34278,14204
0801903071,32367,14399
0801903072,32837,14622
0801903073,39954,17174
0801903074,38040,16363
0801903075,37566,15018
0801903076,35296,15509
0801903077,37786,15543
0801903078,36454,14780
0801903079,35103,14495
0801903080,37495,16015
0801903081,40308,16423
0801903082,43725,18684
0801903083,40096,17304
0801903084,41590,17751
0801903085,42886,19314
0801903086,49385,21194
0801903087,47932,19750
0801903088,40014,17797
0801903089,42894,19060
0801903090,47932,20585
0801903091,46814,18336
0801903092,40881,17688
0801903093,44019,18653
0801903094,41462,19036
0801903095,39646,17781
0801903096,37764,15951
0801903097,30181,13048
0801903098,36301,14757
0801903099,36884,17083
0801903100,37057,17047
0801903101,36934,16709
0801903102,39678,17091
0801903103,38531,17367
0801903104,38520,16540
0801903105,37535,16198
0801903106,38980,17255
0801903107,41589,17236
0801903108,40704,17069
0801903109,42224,18169
0801903110,38945,18478
0801903111,42058,18718
0801903112,46670,19882
0801903113,53534,23793
0801903114,53105,22436
0801903211,42636,15209
0801903212,34921,14166
0801903213,32420,12073
0801904001,47761,20112
0801904002,52386,21695
0801904003,49222,21606
0801904004,45188,20094
0801904005,46785,20483
0801904006,48340,21019
0801904007,41785,19135
0801904008,39787,18567
0801904009,46027,20798
0801904010,57131,23761
0801904011,57721,24435
0801904012,52140,23363
0801904013,56593,24453
0801904014,55390,23595
0801904015,51987,21978
0801904016,56708,24205
0801904017,53313,23387
0801904018,57881,24800
0801904019,71518,28831
0801904020,61418,24567
0801904021,65253,27820
0801904022,49500,22615
0801904023,90951,32986
0801904024,97678,34765
0801904025,49602,22890
0801904026,50877,22476
0801904027,51748,23851
0801904028,46730,21454
0801904029,59632,25953
0801904030,56068,24132
0801904031,48653,21221
0801904032,48131,20508
0801904033,45074,20206
0801904034,61713,25026
0801904035,50835,22923
0801904036,46472,19218
0801904037,49406,20424
0801904038,47522,20117
0801904039,44514,19023
0801904040,38068,16067
0801904041,37775,17152
0801904042,36761,16062
0801904043,55668,23558
0801904044,44138,18188
0801904045,44550,18519
0801904046,63304,25273
0801904047,54809,21233
0801904048,55617,22929
0801904049,82214,31161
0801904050,98221,34765
0801904051,60212,25051
0801904052,98221,34765
0801904053,56053,21547
0801904054,73912,29872
0801904055,98221,34765
0801904056,98221,34765
0801904084,59020,24827
0801905001,50186,17841
0801905002,75861,27126
0801905003,75846,26437
0801905004,98221,34765
0801905005,80831,26669
0801905006,98221,34765
0801905007,77168,28635
0801905008,97195,34765
0801905009,65271,26100
0801905010,62171,24335
0801905011,64572,25933
0801905012,56606,23950
0801905013,65645,27817
0801905014,74521,30027
0801905015,68824,26270
0801905016,54849,21666
0801905017,98221,34765
0801905018,64597,25437
0801905019,88008,32355
0801905020,72300,31576
0801905021,93278,34765
0801905022,98221,34765
0801905023,55164,22821
0801905024,98221,34334
0801905025,98221,34765
0801905026,98221,34765
0801905027,98221,34765
0801905028,98221,34638
0801905029,98221,34765
0801905030,98221,34765
0801905031,98221,34765
0801905032,98221,34765
0801905033,88497,32784
0801905034,65685,26250
0801905035,98221,34765
0801905036,90837,32181
0801905037,52576,20266
0801905038,53304,23331
0801905039,83559,30420
0801905040,54724,23078
0801905041,59077,25921
0801905042,65256,26736
0801905043,55005,23574
0801905044,59313,24686
0801905045,85089,30408
0801905046,98221,34765
0801905047,79691,29204
