census_section,household_avg_m2
0801904011,87.1
0801904012,81.4
0801904013,86.3
0801904014,79.4
0801904015,77.4
0801904016,86.5
0801904017,79.9
0801904018,109.4
0801904019,133.6
0801904020,98.8
0801904021,93.1
0801904022,74.4
0801904023,149.6
0801904024,133.3
0801904025,75.6
0801904026,81.7
0801904027,77.3
0801904028,80.2
0801904029,92.3
0801904030,92.8
0801904031,72.1
0801904032,72.4
0801904033,72.7
0801904034,102.1
0801904035,85.5
0801904036,82.8
0801904037,82.9
0801904038,78.7
0801904039,74.1
0801904040,67.5
0801904041,64.8
0801904042,69.0
0801904043,93.5
0801904044,67.8
0801904045,73.1
0801904046,99.7
0801904047,94.2
0801904048,82.5
0801904049,115.8
0801904084,103.4
0801904050,132.1
0801904051,100.6
0801904052,137.4
0801904053,108.5
0801904054,125.5
0801904055,170.9
0801904056,140.5
0801905001,60.8
0801905002,97.8
0801905003,92.2
0801905004,111.2
0801905005,77.7
0801905006,146.6
0801905007,93.7
0801905008,98.2
0801905009,89.1
0801905010,82.9
0801905011,80.0
0801905012,73.1
0801905013,78.7
0801905014,82.6
0801905015,93.5
0801905016,89.3
0801905017,121.5
0801905018,95.1
0801905019,132.8
0801905020,95.2
0801905021,124.9
0801905022,113.9
0801905023,86.5
0801905024,138.7
0801905025,154.1
0801905026,150.9
0801905027,162.3
0801905028,139.2
0801905029,164.2
0801905030,163.3
0801905031,146.9
0801905032,118.8
0801905033,116.5
0801905034,106.4
0801905035,153.7
0801905036,141.4
0801905037,106.2
0801905038,85.4
0801905039,123.8
0801905040,86.9
0801905041,88.9
0801905042,91.3
0801905043,83.5
0801905044,95.1
0801905045,131.6
0801905046,160.7
0801905047,131.7
0801905048,121.6
0801905049,151.2
0801905050,100.2
0801905051,147.6
0801905052,158.0
0801905053,180.9
0801905054,234.3
0801905055,208.3
0801905056,132.4
0801905057,134.4
0801905058,165.1
0801905059,130.4
0801905060,169.8
0801905061,83.0
0801905062,105.3
0801905063,107.7
0801905064,93.6
0801905065,116.5
0801905066,131.0
0801905067,136.1
0801905068,113.2
0801905069,105.0
0801905070,109.1
0801905071,94.0
0801905072,98.5
0801905073,91.6
0801905074,107.0
0801905075,102.1
0801905076,105.4
0801905077,127.3
0801905078,119.2
0801905079,103.2
0801905080,84.9
0801905081,91.8
0801905082,82.4
0801905083,89.5
0801905084,81.8
0801905085,81.3
0801905086,77.0
0801905087,97.3
0801905088,89.1
0801905089,91.6
0801905090,72.3
0801905091,80.4
0801905092,107.6
