element,id,osmid,health_care,culture,tourism,recreation,sport,economic_retail,industrial,green,civic,worship,education,superpois,geometry
node,364844476,"('node', 364844476)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (426901.85318809975 4582532.277285858)
node,364844485,"('node', 364844485)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (426874.51727540727 4582565.107179066)
node,364844493,"('node', 364844493)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (426647.1585057247 4582493.992759243)
node,365288417,"('node', 365288417)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (425588.5705309291 4582903.743983693)
node,367695151,"('node', 367695151)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (429256.08170934074 4581311.299848799)
node,402894808,"('node', 402894808)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (429349.1851315459 4584880.470655135)
node,412370992,"('node', 412370992)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428917.5227468858 4583874.227076261)
node,416524521,"('node', 416524521)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (427402.3515606523 4586997.543070197)
node,418140219,"('node', 418140219)",0,0,0,0,0,0,0,0,1,0,0,0,POINT (426554.55176379654 4583431.759515244)
node,418744309,"('node', 418744309)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (426694.2103119069 4583261.7451075325)
node,426890646,"('node', 426890646)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (431058.67290592944 4582943.943919987)
node,430607924,"('node', 430607924)",0,1,1,1,0,0,0,0,0,0,0,0,POINT (430618.03277096926 4581847.168623233)
node,430755048,"('node', 430755048)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428204.79849032837 4585716.539461495)
node,430755135,"('node', 430755135)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428336.11424935947 4585236.543023084)
node,432592965,"('node', 432592965)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430662.4486434056 4581312.085497465)
node,432593609,"('node', 432593609)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430831.2956487702 4581454.875540067)
node,432593610,"('node', 432593610)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430847.43586089846 4581449.714114083)
node,432593611,"('node', 432593611)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430855.96965237526 4581437.885871646)
node,432593612,"('node', 432593612)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430823.0967198352 4581468.4881748315)
node,432593613,"('node', 432593613)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430805.24399944744 4581513.236558744)
node,432593614,"('node', 432593614)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430800.17675217666 4581522.022888995)
node,438426043,"('node', 438426043)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (431186.0836402107 4581494.476801245)
node,441597033,"('node', 441597033)",0,0,1,1,0,0,0,0,0,0,0,0,POINT (430688.8444098355 4581332.584215239)
node,449383314,"('node', 449383314)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431791.71510622784 4587156.39728892)
node,449383767,"('node', 449383767)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (432388.4723511649 4585963.7075077165)
node,449384558,"('node', 449384558)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431932.5739684863 4585946.497503681)
node,451795996,"('node', 451795996)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431069.37494626397 4588688.113254978)
node,451796001,"('node', 451796001)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431103.3667517239 4588697.704202965)
node,452479752,"('node', 452479752)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428083.8687893073 4584853.015736655)
node,462098682,"('node', 462098682)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431336.9411937442 4588107.169984824)
node,476327681,"('node', 476327681)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431721.4470625379 4581459.312872309)
node,478861282,"('node', 478861282)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431535.95130585006 4587657.390575431)
node,478867119,"('node', 478867119)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (431630.37458356295 4587416.285493718)
node,481122006,"('node', 481122006)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431541.6905737625 4587417.213162799)
node,496060481,"('node', 496060481)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427799.99241051555 4582827.813447406)
node,499083303,"('node', 499083303)",0,0,0,0,0,0,0,0,0,1,0,0,POINT (431086.03252947016 4586873.998859822)
node,499122827,"('node', 499122827)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431012.58628702373 4586871.745522776)
node,499122828,"('node', 499122828)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430964.37380055385 4587052.328451118)
node,499122829,"('node', 499122829)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430862.1117105523 4586880.654360782)
node,499122830,"('node', 499122830)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431128.80357214494 4586619.945090037)
node,506202703,"('node', 506202703)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (432210.689429785 4583061.352450168)
node,506219357,"('node', 506219357)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (431104.3479110027 4582938.7794982875)
node,506236252,"('node', 506236252)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431319.71137878497 4582850.00977411)
node,506236262,"('node', 506236262)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (432599.42176926375 4582248.829342345)
node,506236266,"('node', 506236266)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (432128.9672544278 4582753.636785069)
node,506236267,"('node', 506236267)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (432158.4999672664 4582728.900601777)
node,506236269,"('node', 506236269)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (432261.00999068934 4582625.884112235)
node,506236270,"('node', 506236270)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (432098.24175572104 4582773.299180178)
node,506236272,"('node', 506236272)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431672.68873647513 4583194.457028424)
node,506236273,"('node', 506236273)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431715.7139728035 4583291.445436311)
node,506262679,"('node', 506262679)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431216.02802583337 4581408.045616934)
node,532408861,"('node', 532408861)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427369.6344675889 4580874.217870824)
node,534367689,"('node', 534367689)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427416.44467214885 4580971.2661812175)
node,534367691,"('node', 534367691)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427636.91238635074 4580806.458959121)
node,534375057,"('node', 534375057)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427342.7462042165 4580817.407075651)
node,536686095,"('node', 536686095)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (430269.90452648606 4580482.849168095)
node,536686097,"('node', 536686097)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430326.53830443637 4580584.273139075)
node,537748856,"('node', 537748856)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427701.4107070055 4580985.172248613)
node,537748857,"('node', 537748857)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427587.17425751 4581015.502371747)
node,539147482,"('node', 539147482)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427690.53123140894 4580875.439357962)
node,553098848,"('node', 553098848)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427319.4113585312 4580794.73563683)
node,556334728,"('node', 556334728)",0,0,0,0,0,0,0,0,0,0,1,0,POINT (427297.5172702358 4584449.514846556)
node,556334773,"('node', 556334773)",0,0,0,0,1,0,0,0,0,0,0,1,POINT (427334.7055900447 4584491.89921609)
node,556334799,"('node', 556334799)",0,0,0,0,0,0,0,0,0,0,1,0,POINT (427304.5735106387 4584563.682976183)
node,556334814,"('node', 556334814)",0,0,0,0,0,0,0,0,0,0,1,0,POINT (427198.55260240554 4584436.808220242)
node,565479520,"('node', 565479520)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427624.2574401453 4580808.828110238)
node,565479521,"('node', 565479521)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427617.3757261187 4580809.785067262)
node,566708689,"('node', 566708689)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431473.7051071826 4586314.837261013)
node,569066845,"('node', 569066845)",0,0,0,0,0,0,0,0,1,0,0,0,POINT (430451.3504151819 4580693.836480662)
node,569923971,"('node', 569923971)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431653.18406983645 4581595.677266545)
node,570117144,"('node', 570117144)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429981.2331909997 4583741.409000509)
node,570814718,"('node', 570814718)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (431035.75150482403 4581233.123990025)
node,571182738,"('node', 571182738)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431210.09339210246 4588574.41103684)
node,571182739,"('node', 571182739)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431185.030922725 4588626.178375773)
node,571410989,"('node', 571410989)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427798.5906427793 4580944.243993596)
node,571920506,"('node', 571920506)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427673.7386201343 4580857.053893156)
node,571920514,"('node', 571920514)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427574.3770189434 4580976.814333907)
node,571920531,"('node', 571920531)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427577.01593829104 4580984.80429283)
node,571920533,"('node', 571920533)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427687.90459747985 4580971.772501659)
node,571920559,"('node', 571920559)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427871.4710719437 4581023.737058933)
node,571920568,"('node', 571920568)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427862.06194311555 4581013.57159009)
node,571920576,"('node', 571920576)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (427713.2075847436 4580854.872568266)
node,572207902,"('node', 572207902)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431206.7472733609 4588702.1269302415)
node,573484576,"('node', 573484576)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427848.2310953928 4580998.598166587)
node,573484580,"('node', 573484580)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427834.52223553474 4580984.123186185)
node,573484590,"('node', 573484590)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427828.5800036946 4580978.630886234)
node,573484593,"('node', 573484593)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427824.4603834239 4580973.08713144)
node,573484598,"('node', 573484598)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427819.3018981627 4580968.197695636)
node,573484608,"('node', 573484608)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427809.1662476115 4580956.474014023)
node,573484611,"('node', 573484611)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427812.67379108886 4580961.857312682)
node,573484622,"('node', 573484622)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427854.73208530084 4581005.617125662)
node,573484633,"('node', 573484633)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427842.74814037053 4580993.034665539)
node,574281382,"('node', 574281382)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427733.7394971809 4580860.785543171)
node,586547363,"('node', 586547363)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (428836.7491229241 4582421.456338238)
node,587998431,"('node', 587998431)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429966.78301307454 4583727.969873664)
node,588002549,"('node', 588002549)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429947.5705656113 4583711.36810056)
node,588003295,"('node', 588003295)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429956.98393038707 4583715.718208315)
node,588012926,"('node', 588012926)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429923.56550042407 4583715.25322461)
node,595384323,"('node', 595384323)",0,0,1,1,0,0,0,0,0,0,0,0,POINT (430122.85822230636 4581732.715632715)
node,598642867,"('node', 598642867)",0,0,0,0,1,0,0,0,0,0,0,1,POINT (427798.4590914542 4583983.849272299)
