census_section,education_primary,education_secondary,education_college
0801903060,262,642,335
0801903061,179,505,362
0801903062,241,720,486
0801903063,281,733,623
0801903064,205,714,634
0801903065,230,673,301
0801903066,383,1174,528
0801903067,266,799,447
0801903068,229,569,250
0801903069,190,584,306
0801903070,266,637,271
0801903071,247,585,384
0801903072,251,598,360
0801903073,259,729,455
0801903074,305,812,495
0801903075,340,768,450
0801903076,209,467,257
0801903077,222,656,365
0801903078,288,832,472
0801903079,297,833,471
0801903080,284,730,404
0801903081,287,887,626
0801903082,265,761,639
0801903083,193,614,420
0801903084,200,661,420
0801903085,162,559,443
0801903086,154,551,442
0801903087,183,600,516
0801903088,176,583,464
0801903089,131,507,455
0801903090,86,438,398
0801903091,155,671,496
0801903092,159,501,415
0801903093,205,660,456
0801903094,174,516,390
0801903095,220,694,532
0801903096,198,687,515
0801903097,229,759,482
0801903098,206,651,441
0801903099,147,387,383
0801903100,188,523,410
0801903101,1601,3864,1216
0801903102,203,593,416
0801903103,222,460,306
0801903104,185,637,486
0801903105,163,531,396
0801903106,170,521,460
0801903107,182,780,624
0801903108,188,692,531
0801903109,194,621,545
0801903110,186,581,556
0801903111,145,491,484
0801903112,186,744,751
0801903113,130,556,673
0801903114,125,572,629
0801903211,297,795,264
0801903212,564,1162,442
0801903213,559,1123,355
0801904001,128,484,494
0801904002,148,729,820
0801904003,96,429,428
0801904004,93,427,392
0801904005,142,519,433
0801904006,131,452,431
0801904007,175,453,322
0801904008,125,414,367
0801904009,146,577,564
0801904010,68,377,346
0801904011,75,599,816
0801904012,112,522,527
0801904013,85,502,508
0801904014,135,285,282
0801904015,151,724,799
0801904016,89,413,477
0801904017,97,409,501
0801904018,89,555,712
0801904019,56,539,649
0801904020,83,501,667
0801904021,56,439,661
0801904022,125,634,751
0801904023,48,343,507
0801904024,47,322,501
0801904025,78,453,491
0801904026,106,479,485
0801904027,106,469,598
0801904028,87,467,589
0801904029,62,402,506
0801904030,148,621,755
0801904031,353,1099,665
0801904032,173,654,582
0801904033,109,511,385
0801904034,91,525,645
0801904035,103,496,595
0801904036,189,704,651
0801904037,227,947,781
0801904038,147,532,437
0801904039,124,470,424
0801904040,208,677,513
0801904041,192,566,466
0801904042,318,743,539
0801904043,172,570,714
0801904044,187,721,514
0801904045,183,556,468
0801904046,183,859,1075
0801904047,241,741,675
0801904048,105,581,651
0801904049,38,381,653
0801904050,74,662,1002
0801904051,85,557,772
0801904052,75,729,1076
0801904053,100,596,791
0801904054,48,332,542
0801904055,98,475,736
0801904056,118,722,834
0801904084,91,488,649
0801905001,209,771,574
0801905002,112,587,677
0801905003,88,475,565
0801905004,115,340,432
0801905005,123,463,478
0801905006,132,590,808
0801905007,193,769,809
0801905008,103,520,760
0801905009,90,569,737
0801905010,72,500,676
0801905011,60,449,682
0801905012,81,497,602
0801905013,109,519,803
0801905014,56,427,827
0801905015,80,502,685
0801905016,70,596,790
0801905017,44,441,791
0801905018,66,411,588
0801905019,60,450,823
0801905020,56,364,594
0801905021,55,399,643
0801905022,85,488,837
0801905023,76,508,661
0801905024,81,662,883
0801905025,42,406,605
0801905026,59,446,650
0801905027,55,425,661
0801905028,118,564,716
0801905029,52,527,774
0801905030,44,418,663
0801905031,64,544,730
0801905032,139,616,820
0801905033,70,449,632
0801905034,50,407,592
0801905035,43,362,529
0801905036,68,561,859
0801905037,63,529,658
0801905038,79,511,651
0801905039,65,511,717
0801905040,63,514,676
0801905041,208,977,871
0801905042,50,427,637
0801905043,59,510,712
0801905044,65,453,588
0801905045,69,518,749
0801905046,47,387,569
0801905047,52,391,579
0801905048,42,387,614
0801905049,70,557,807
0801905050,75,585,788
0801905051,79,565,793
0801905052,67,459,658
0801905053,67,537,671
0801905054,50,367,444
0801905055,62,502,629
0801905056,53,407,556
0801905057,60,527,838
0801905058,70,554,700
0801905059,71,533,761
0801905060,56,365,565
0801905061,81,555,682
0801905062,86,521,788
0801905063,55,488,798
0801905064,84,513,876
0801905065,89,560,829
0801905066,51,430,678
0801905067,65,419,723
0801905068,68,488,843
0801905069,80,554,851
0801905070,59,487,693
0801905071,83,584,935
0801905072,74,554,856
0801905073,81,557,765
0801905074,67,501,825
0801905075,93,592,944
0801905076,79,483,695
0801905077,60,518,782
0801905078,89,713,972
0801905079,51,416,665
0801905080,66,457,658
0801905081,94,504,775
0801905082,93,517,832
0801905083,76,451,574
0801905084,76,474,620
0801905085,70,465,617
0801905086,58,489,627
0801905087,74,580,798
0801905088,83,640,827
0801905089,79,575,935
0801905090,71,665,901
0801905091,87,551,686
0801905092,64,518,819
0801905093,55,359,596
0801905094,105,906,1339
0801905095,91,599,783
0801905096,59,419,527
0801905097,78,530,822
0801905098,79,550,688
0801906001,127,471,509
0801906002,126,611,617
0801906003,227,928,907
0801906004,141,590,526
0801906006,82,343,448
0801906007,142,759,847
0801906008,147,829,857
0801906009,93,513,544
0801906010,126,435,356
0801906011,121,587,455
0801906012,101,421,483
0801906013,172,750,709
0801906014,170,661,456
0801906015,235,666,410
0801906016,249,717,439
0801906017,187,634,458
0801906018,111,539,569
0801906019,148,592,582
0801906020,116,497,477
0801906021,142,475,569
0801906022,237,515,461
0801906023,62,456,597
0801906024,144,630,699
0801906025,119,539,566
0801906026,90,422,462
0801906027,79,462,499
0801906028,119,506,580
0801906029,96,495,655
0801906030,133,486,604
0801906031,96,408,521
0801906032,114,409,529
0801906033,121,500,548
0801906034,106,442,495
0801906035,69,411,504
0801906036,138,556,597
0801906037,83,350,480
0801906038,112,530,721
0801906039,132,552,782
0801906040,121,608,830
0801906041,124,590,869
0801906042,106,598,818
0801906043,82,454,672
0801906044,98,519,833
0801906045,81,384,647
0801906046,94,385,510
0801906047,104,372,637
0801906048,123,533,626
0801906049,112,384,529
0801906050,113,523,558
0801906051,86,414,584
0801906052,126,525,677
0801906053,158,514,715
0801906054,148,550,673
0801906055,162,495,582
0801906056,155,518,806
0801906057,177,506,730
0801906058,144,578,843
0801906059,178,524,662
0801906060,195,663,720
0801906061,130,542,545
0801906062,123,491,482
0801906063,128,517,664
0801906064,140,687,870
0801906065,95,419,498
0801906066,87,380,408
0801906067,148,677,825
0801906068,140,529,754
0801906069,83,418,498
0801906070,164,766,786
0801906071,94,432,457
0801906072,125,619,715
0801906073,164,540,515
0801906074,102,492,432
0801906075,96,478,388
0801906076,95,525,517
0801906077,110,473,459
0801906078,115,490,576
0801906079,90,447,465
0801906080,128,488,428
0801906081,124,505,553
0801906082,464,1677,1048
0801906083,158,673,669
0801906084,115,565,602
0801906085,105,514,567
0801906086,65,369,450
0801906087,130,660,800
0801906088,90,549,499
0801907001,222,669,512
0801907002,181,490,350
0801907003,110,543,553
0801907004,183,675,556
0801907005,141,637,515
0801907006,108,460,274
0801907007,212,623,432
0801907008,181,597,482
0801907009,141,580,451
0801907010,120,545,532
0801907011,112,503,460
0801907012,188,671,527
0801907013,134,583,419
0801907014,162,423,220
0801907015,182,633,393
0801907016,142,617,435
0801907017,184,764,644
0801907018,159,786,583
0801907019,149,718,538
0801907020,189,756,567
0801907021,110,507,338
0801907022,224,499,306
0801907023,182,654,334
0801907024,235,639,454
0801907025,242,671,433
0801907026,182,498,308
0801907027,236,940,592
0801907028,198,663,446
0801907029,151,556,459
0801907030,229,663,393
0801907031,213,729,436
0801907032,180,646,476
0801907033,163,676,500
0801907034,179,751,653
0801907035,146,773,620
0801907036,156,682,457
0801907037,181,719,486
0801907038,143,620,397
0801907039,125,749,591
0801907040,143,682,547
0801907041,121,627,519
0801907042,205,735,499
0801907043,174,654,466
0801907044,184,611,409
0801907045,230,741,459
0801907046,195,633,404
0801907047,198,711,412
0801907048,184,606,384
0801907049,181,579,330
0801907050,153,570,358
0801907051,207,889,535
0801907052,144,512,472
0801907053,177,689,441
0801907054,141,691,613
0801907055,94,495,472
0801907056,160,533,370
0801907057,184,663,454
0801907058,178,648,353
0801907059,305,658,287
0801907060,402,954,356
0801907061,278,578,170
0801907062,247,648,277
0801907063,354,739,176
0801907064,376,878,250
0801907065,396,925,261
0801907066,432,893,240
0801907067,276,855,257
0801907068,287,703,193
0801907069,340,739,241
0801907070,305,730,205
0801907071,328,659,208
0801907072,281,723,275
0801907073,278,590,153
0801907074,360,876,253
0801907075,284,608,162
0801907076,319,727,181
0801907077,298,692,169
0801907078,292,732,250
0801907079,389,771,202
0801907080,356,891,259
0801907081,433,946,350
0801907082,261,654,216
0801907083,296,672,266
0801907084,261,685,272
0801907085,240,691,246
0801907086,306,783,276
0801907087,291,848,358
0801907088,330,826,400
0801907089,197,661,447
0801907090,313,712,277
0801907091,239,670,275
0801907092,310,803,247
0801907093,304,928,359
0801907094,164,588,376
0801907095,181,746,485
0801907096,224,747,363
0801907097,211,348,241
0801907098,222,836,793
0801907099,131,524,288
0801907100,216,562,292
0801907101,296,683,371
0801907102,109,327,246
0801907103,272,733,438
0801907104,319,766,300
0801907105,170,474,281
0801907106,211,531,291
0801907107,180,517,341
0801907108,184,573,334
0801907109,343,768,374
0801907110,185,465,261
0801907111,127,430,252
0801907112,246,621,340
0801907113,201,622,255
0801907114,155,580,350
0801907115,123,476,348
0801907116,221,700,394
0801907117,850,2902,811
0801907118,221,605,305
0801907119,222,662,314
0801907120,265,557,279
0801907121,243,604,243
0801907122,207,655,315
0801907123,241,646,342
0801908001,291,592,239
0801908002,209,604,335
0801908003,249,593,271
0801908004,281,705,293
0801908005,227,554,265
0801908006,229,800,459
0801908007,231,544,266
0801908008,229,791,399
0801908009,234,861,475
0801908010,153,560,311
0801908011,159,559,325
0801908012,169,626,326
0801908013,189,593,275
0801908014,195,683,280
0801908015,279,749,296
0801908016,209,549,281
0801908017,228,656,328
0801908018,265,733,346
0801908019,336,883,423
0801908020,218,714,331
0801908021,283,686,321
0801908022,233,620,243
0801908023,247,726,277
0801908024,241,680,326
0801908025,237,638,256
0801908026,244,658,324
0801908027,296,632,318
0801908028,263,503,177
0801908029,374,751,212
0801908030,325,698,243
0801908031,246,668,222
0801908032,297,601,234
0801908033,310,767,241
0801908034,271,662,189
0801908035,1596,4151,867
0801908036,355,837,232
0801908037,335,826,280
0801908038,289,823,311
0801908039,342,793,244
0801908040,388,974,299
0801908041,500,1298,341
0801908042,294,564,265
0801908043,252,555,184
0801908044,265,731,219
0801908045,371,945,262
0801908046,287,806,291
0801908047,339,863,241
0801908048,319,467,56
0801908049,326,564,149
0801908050,230,650,330
0801908051,205,691,252
0801908052,160,456,167
0801908053,249,517,234
0801908054,377,770,316
0801908055,354,776,421
0801908056,310,831,253
0801908057,280,690,243
0801908058,387,889,233
0801908059,231,531,149
0801908060,303,561,191
0801908061,459,797,190
0801908062,284,596,142
0801908063,251,531,190
0801908064,477,889,194
0801908065,448,844,194
0801908066,478,758,157
0801908067,426,938,268
0801908068,520,938,173
0801908069,429,771,153
0801908070,384,737,144
0801908071,459,899,168
0801908072,316,608,117
0801908073,441,1001,188
0801908074,404,766,173
0801908075,439,1035,254
0801908076,409,786,202
0801908077,415,693,115
0801908078,368,898,205
0801908079,347,740,209
0801908080,377,784,226
0801908081,324,859,227
0801908082,348,871,250
0801908083,284,683,179
0801908084,277,536,178
0801908085,345,817,234
0801908086,393,832,278
0801908087,253,692,178
0801908088,285,682,178
0801908089,296,619,141
0801908090,293,612,189
0801908091,327,608,162
0801908092,281,496,117
0801908093,314,638,193
0801908094,416,728,195
0801908095,198,588,210
0801908096,363,765,210
0801908097,316,743,130
0801908098,311,659,163
0801908099,299,769,197
0801908100,299,692,164
0801908101,430,849,193
0801908102,460,789,181
0801908103,404,889,179
0801908104,336,682,102
0801908105,344,771,142
0801908106,309,668,128
0801908107,551,961,156
0801908108,559,977,229
0801908109,331,410,48
0801908110,558,899,136
0801908111,495,818,113
0801908112,504,819,114
0801908113,583,859,114
0801908114,551,946,137
0801908115,495,829,124
0801908116,428,651,108
0801908215,219,769,316
0801909001,777,1257,201
0801909002,560,1071,206
0801909003,618,1083,188
0801909004,442,809,184
0801909005,304,838,279
0801909006,380,618,93
0801909007,376,628,95
0801909008,112,784,559
0801909009,301,678,242
0801909010,484,910,189
0801909011,469,844,134
0801909013,473,1062,232
0801909014,1013,2678,547
0801909015,425,1030,223
0801909016,238,663,253
0801909017,202,740,405
0801909018,234,688,311
0801909019,362,1208,691
0801909020,172,522,322
0801909021,155,697,372
0801909022,153,541,383
0801909023,143,546,345
0801909024,167,534,342
0801909025,140,556,400
0801909026,214,703,382
0801909027,233,592,332
0801909028,149,677,442
0801909029,235,528,222
0801909030,211,661,365
0801909031,175,516,306
0801909032,346,1054,374
0801909033,551,1560,789
0801909034,259,790,257
0801909035,284,721,377
0801909036,292,655,315
0801909037,447,790,316
0801909038,220,785,465
0801909039,246,771,380
0801909040,228,731,484
0801909041,178,684,368
0801909042,176,569,365
0801909043,209,662,348
0801909044,175,681,457
0801909045,222,655,353
0801909046,176,601,367
0801909047,174,684,536
0801909048,171,693,338
0801909049,196,605,311
0801909050,203,724,440
0801909051,147,581,384
0801909052,177,569,318
0801909053,214,751,474
0801909054,159,499,298
0801909055,265,952,378
0801909056,193,565,289
0801909057,269,812,453
0801909058,166,676,465
0801909059,236,595,417
0801909060,202,641,373
0801909061,214,726,602
0801909062,184,632,513
0801909063,167,482,362
0801909064,176,555,298
0801909065,305,1090,464
0801909066,176,637,415
0801909067,199,762,390
0801909068,223,736,431
0801909069,156,495,233
0801909070,383,858,364
0801909071,342,888,479
0801909072,274,731,335
0801909073,281,724,351
0801909074,224,812,497
0801909075,190,771,422
0801909076,193,692,391
0801909077,219,748,439
0801909078,171,740,409
0801909079,210,806,476
0801909080,206,596,410
0801909081,246,870,490
0801909082,277,930,607
0801909083,226,783,458
0801909084,193,764,566
0801909085,213,807,537
0801909086,194,682,459
0801909087,168,604,381
0801909088,325,899,504
0801909089,242,661,420
