Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,200,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,217,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,8,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,9,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,359,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,543,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,321,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,487,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,200,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,251,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,223,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,264,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,10,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,6,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,206,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,238,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,218,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,253,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,166,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,204,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,247,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,245,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,8,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,230,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,324,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,234,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,346,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,209,4,1
