"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicle","Index_Motoritzacio"
2023,"01","Ciutat Vella","01","el Raval","014","Ciclomotors",21.26
2023,"01","Ciutat Vella","01","el Raval","014","Furgonetes",14.18
2023,"01","Ciutat Vella","01","el Raval","014","Camions",8.72
2023,"01","Ciutat Vella","01","el Raval","015","Turismes",91.71
2023,"01","Ciutat Vella","01","el Raval","015","Motos",64.5
2023,"01","Ciutat Vella","01","el Raval","015","Ciclomotors",15.8
2023,"01","Ciutat Vella","01","el Raval","015","Furgonetes",27.64
2023,"01","Ciutat Vella","01","el Raval","015","Camions",3.95
2023,"01","Ciutat Vella","01","el Raval","015","Resta de vehicles",8.34
2023,"01","Ciutat Vella","01","el Raval","016","Turismes",81.65
2023,"01","Ciutat Vella","01","el Raval","016","Motos",65.42
2023,"01","Ciutat Vella","01","el Raval","016","Ciclomotors",21.64
2023,"01","Ciutat Vella","01","el Raval","016","Furgonetes",15.25
2023,"01","Ciutat Vella","01","el Raval","016","Camions",2.46
2023,"01","Ciutat Vella","01","el Raval","017","Turismes",98.48
2023,"01","Ciutat Vella","01","el Raval","017","Motos",60.85
2023,"01","Ciutat Vella","01","el Raval","017","Ciclomotors",27.62
2023,"01","Ciutat Vella","01","el Raval","017","Furgonetes",12.81
2023,"01","Ciutat Vella","01","el Raval","017","Camions",3.2
2023,"01","Ciutat Vella","01","el Raval","017","Resta de vehicles",2
2023,"01","Ciutat Vella","01","el Raval","018","Turismes",102.36
2023,"01","Ciutat Vella","01","el Raval","018","Motos",82.68
2023,"01","Ciutat Vella","01","el Raval","018","Ciclomotors",52.49
2023,"01","Ciutat Vella","01","el Raval","018","Furgonetes",24.28
2023,"01","Ciutat Vella","01","el Raval","018","Camions",4.59
2023,"01","Ciutat Vella","01","el Raval","018","Resta de vehicles",3.28
2023,"01","Ciutat Vella","01","el Raval","019","Turismes",122.14
2023,"01","Ciutat Vella","01","el Raval","019","Motos",72.69
2023,"01","Ciutat Vella","01","el Raval","019","Ciclomotors",24.73
2023,"01","Ciutat Vella","01","el Raval","019","Furgonetes",22.11
2023,"01","Ciutat Vella","01","el Raval","019","Camions",4.12
2023,"01","Ciutat Vella","01","el Raval","019","Resta de vehicles",1.12
2023,"01","Ciutat Vella","01","el Raval","020","Turismes",138.38
2023,"01","Ciutat Vella","01","el Raval","020","Motos",92.25
2023,"01","Ciutat Vella","01","el Raval","020","Ciclomotors",16.57
2023,"01","Ciutat Vella","01","el Raval","020","Furgonetes",16.12
2023,"01","Ciutat Vella","01","el Raval","020","Camions",4.03
2023,"01","Ciutat Vella","01","el Raval","020","Resta de vehicles",3.58
2023,"01","Ciutat Vella","01","el Raval","021","Turismes",180.21
2023,"01","Ciutat Vella","01","el Raval","021","Motos",106.44
2023,"01","Ciutat Vella","01","el Raval","021","Ciclomotors",21.94
2023,"01","Ciutat Vella","01","el Raval","021","Furgonetes",22.41
2023,"01","Ciutat Vella","01","el Raval","021","Camions",10.74
2023,"01","Ciutat Vella","01","el Raval","021","Resta de vehicles",11.2
2023,"01","Ciutat Vella","02","el Barri Gòtic","022","Turismes",154.06
2023,"01","Ciutat Vella","02","el Barri Gòtic","022","Motos",97.63
2023,"01","Ciutat Vella","02","el Barri Gòtic","022","Ciclomotors",14.67
2023,"01","Ciutat Vella","02","el Barri Gòtic","022","Furgonetes",19.19
2023,"01","Ciutat Vella","02","el Barri Gòtic","022","Camions",5.08
2023,"01","Ciutat Vella","02","el Barri Gòtic","022","Resta de vehicles",3.95
2023,"01","Ciutat Vella","02","el Barri Gòtic","023","Turismes",223.8
2023,"01","Ciutat Vella","02","el Barri Gòtic","023","Motos",127.16
2023,"01","Ciutat Vella","02","el Barri Gòtic","023","Ciclomotors",18.31
2023,"01","Ciutat Vella","02","el Barri Gòtic","023","Furgonetes",30.52
2023,"01","Ciutat Vella","02","el Barri Gòtic","023","Camions",9.16
2023,"01","Ciutat Vella","02","el Barri Gòtic","023","Resta de vehicles",4.07
2023,"01","Ciutat Vella","02","el Barri Gòtic","025","Turismes",1219.18
2023,"01","Ciutat Vella","02","el Barri Gòtic","025","Motos",453.58
2023,"01","Ciutat Vella","02","el Barri Gòtic","025","Ciclomotors",20.55
2023,"01","Ciutat Vella","02","el Barri Gòtic","025","Furgonetes",466.51
2023,"01","Ciutat Vella","02","el Barri Gòtic","025","Camions",330.29
2023,"01","Ciutat Vella","02","el Barri Gòtic","025","Resta de vehicles",112.63
2023,"01","Ciutat Vella","02","el Barri Gòtic","026","Turismes",33.74
2023,"01","Ciutat Vella","02","el Barri Gòtic","026","Motos",46.39
2023,"01","Ciutat Vella","02","el Barri Gòtic","026","Ciclomotors",6.18
2023,"01","Ciutat Vella","02","el Barri Gòtic","026","Furgonetes",26.71
2023,"01","Ciutat Vella","02","el Barri Gòtic","026","Camions",5.72
2023,"01","Ciutat Vella","02","el Barri Gòtic","026","Resta de vehicles",0.84
2023,"01","Ciutat Vella","02","el Barri Gòtic","027","Turismes",377.52
2023,"01","Ciutat Vella","02","el Barri Gòtic","027","Motos",528.11
2023,"01","Ciutat Vella","02","el Barri Gòtic","027","Ciclomotors",28.45
2023,"01","Ciutat Vella","02","el Barri Gòtic","027","Furgonetes",89.52
2023,"01","Ciutat Vella","02","el Barri Gòtic","027","Camions",180.43
2023,"01","Ciutat Vella","02","el Barri Gòtic","027","Resta de vehicles",27.06
2023,"01","Ciutat Vella","02","el Barri Gòtic","028","Turismes",170.78
2023,"01","Ciutat Vella","02","el Barri Gòtic","028","Motos",110.88
2023,"01","Ciutat Vella","02","el Barri Gòtic","028","Ciclomotors",19.44
2023,"01","Ciutat Vella","02","el Barri Gòtic","028","Furgonetes",18.92
2023,"01","Ciutat Vella","02","el Barri Gòtic","028","Camions",2.1
2023,"01","Ciutat Vella","02","el Barri Gòtic","028","Resta de vehicles",3.15
2023,"01","Ciutat Vella","02","el Barri Gòtic","029","Turismes",173.29
2023,"01","Ciutat Vella","02","el Barri Gòtic","029","Motos",112.64
2023,"01","Ciutat Vella","02","el Barri Gòtic","029","Ciclomotors",31.05
2023,"01","Ciutat Vella","02","el Barri Gòtic","029","Furgonetes",17.33
2023,"01","Ciutat Vella","02","el Barri Gòtic","029","Camions",6.5
