model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
random_forest,0.08067989779309237,0.010972609131302486,0.06127964066360746,0.005355575938615062,0.7651174141263588,0.06198308608897748
hist_gradient_boosting,0.08317103534084738,0.009282326097054318,0.06328764392181643,0.0040121807286245805,0.7510489075429801,0.05548796600041303
linear_regression,0.11143169748384245,0.008246572220158312,0.08233113249322871,0.0026739650437894395,0.5516208487458623,0.08910088024926227
elastic_net,0.11567625521904343,0.008687013205078222,0.09316746154454127,0.006611924205573463,0.5249062476756114,0.03887268774329329
