station_id,name,neighborhood,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,structural_gap_score,score_interpretation,pred__xgboost,prediction_percentile_0_100,predictive_gap,predictive_interpretation
49,"C/ ROSA SENSAT, 20",la Vila Olímpica del Poblenou,42.89,33.24,0.6438112438789716,95.58,-62.34,Infravalorada por score,0.54481167,89.32,0.099,Infrapredicha por modelo
444,"C/ LLEIDA, 40",el Poble-sec,23.91,4.24,0.3916801525472633,66.48,-62.24,Infravalorada por score,0.35114673,59.85,0.040533,Infrapredicha por modelo
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",la Barceloneta,33.98,14.73,0.4671966120522077,76.8,-62.07,Infravalorada por score,0.54095274,88.58,-0.073756,Sobrepredicha por modelo
544,"C/ MONTFAR, 1",la Font de la Guatlla,21.93,2.76,0.3838056206088993,64.46,-61.7,Infravalorada por score,0.30009228,50.46,0.083713,Infrapredicha por modelo
400,MOLL ORIENTAL,la Barceloneta,25.93,6.63,0.4011364936104727,68.14,-61.51,Infravalorada por score,0.46893874,78.08,-0.067802,Sobrepredicha por modelo
157,"C/ LLULL, 465",el Besòs i el Maresme,44.46,36.83,0.691359043952982,97.97,-61.14,Infravalorada por score,0.5459483,89.5,0.145411,Infrapredicha por modelo
451,"C/ PALLARS, 504",el Besòs i el Maresme,43.52,34.99,0.6594737039537849,95.95,-60.96,Infravalorada por score,0.53363824,87.66,0.125835,Infrapredicha por modelo
397,AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPI,la Vila Olímpica del Poblenou,38.74,23.57,0.5266848884542408,84.16,-60.59,Infravalorada por score,0.5570507,91.34,-0.030366,Sobrepredicha por modelo
316,"C/ CANTÀBRIA, 55",la Verneda i la Pau,37.15,21.18,0.5075441954734827,81.4,-60.22,Infravalorada por score,0.55050313,90.42,-0.042959,Sobrepredicha por modelo
448,"C/ RAMÓN TURRÓ, 160",el Poblenou,45.05,38.31,0.6876657161438791,97.79,-59.48,Infravalorada por score,0.61964697,97.05,0.068019,Infrapredicha por modelo
345,PL. TERESA DE CLARAMUNT/C/ DELS FERROCA,la Marina de Port,32.4,12.71,0.4263360072308214,71.27,-58.56,Infravalorada por score,0.37038383,62.25,0.055952,Infrapredicha por modelo
178,"PG. DE GARCIA FÀRIA, 85",Diagonal Mar i el Front Marítim del Poblenou,44.24,36.46,0.6367057606214979,94.84,-58.38,Infravalorada por score,0.5547523,90.98,0.081953,Infrapredicha por modelo
515,"C/ SANT ADRIÀ, 43",el Bon Pastor,30.79,10.31,0.4053658765989466,68.51,-58.2,Infravalorada por score,0.43377346,71.45,-0.028408,Sobrepredicha por modelo
254,"RAMBLA DE L'ONZE DE SETEMBRE, 69",Sant Andreu,37.63,21.92,0.4941718376260963,79.93,-58.01,Infravalorada por score,0.35068336,59.48,0.143488,Infrapredicha por modelo
340,"C/ SANT ADRIÀ, 113",el Bon Pastor,42.77,32.78,0.5775350896945133,90.06,-57.28,Infravalorada por score,0.49765304,81.95,0.079882,Infrapredicha por modelo
343,CAMPANA DE LA MAQUINISTA (SAO PAULO I P,el Bon Pastor,43.4,34.62,0.5923290284523764,91.53,-56.91,Infravalorada por score,0.4344869,71.64,0.157842,Infrapredicha por modelo
190,"AV. LITORAL, 72",el Poblenou,32.34,12.52,0.4086887610997094,69.24,-56.72,Infravalorada por score,0.52452815,86.37,-0.115839,Sobrepredicha por modelo
40,"C/ DOCTOR AIGUADER, 2",la Barceloneta,44.07,36.1,0.6109610454573876,92.63,-56.53,Infravalorada por score,0.6002605,95.58,0.010701,Infrapredicha por modelo
540,"C/ MANDONI, 6",la Font de la Guatlla,32.26,12.15,0.4009301014656144,67.96,-55.81,Infravalorada por score,0.45568877,75.69,-0.054759,Sobrepredicha por modelo
