station_id,n_observations,bikes_available_mean,bikes_available_std,bikes_available_min,bikes_available_max,docks_available_mean,docks_available_std,docks_available_min,docks_available_max,mechanical_bikes_mean,ebikes_mean,bikes_ratio_capacity_mean,bikes_ratio_capacity_std,docks_ratio_capacity_mean,docks_ratio_capacity_std,pct_empty,pct_near_empty,pct_full,pct_near_full,capacity
1,8738,8.801785305561914,6.892947597527717,0,46,33.99164568551156,7.469340561940124,0,46,4.500801098649577,4.300984206912337,0.19134315881656333,0.14984668690277644,0.7389488192502514,0.16237696873782903,0.05859464408331426,0.20244907301441978,0.00011444266422522316,0.006752117189288167,46
10,8869,14.479873717442779,6.625081658023602,1,34,27.959747434885557,6.449122819534137,9,42,3.4065847333408503,11.073288984101929,0.3367412492428553,0.15407166646566545,0.6502266845322222,0.14997960045428219,0.0,0.02920284135753749,0.0,0.0,43
100,8820,5.345351473922903,4.687054926949846,0,19,11.432766439909297,5.056872722367671,0,21,1.5921768707482993,3.753174603174603,0.24297052154195012,0.2130479512249923,0.5196712018140589,0.22985785101671286,0.09909297052154195,0.36882086167800454,0.016666666666666666,0.07256235827664399,22
101,8854,3.7887960243957535,4.516258873533078,0,22,16.70668624350576,4.956711562597161,0,24,0.7693697763722611,3.019426248023492,0.15786650101648972,0.18817745306387873,0.69611192681274,0.20652964844154797,0.2619155184097583,0.5588434605827874,0.005534221820646035,0.017619155184097582,24
102,8818,2.2503969154003176,3.314950848491058,0,21,19.20514855976412,3.6257351138396006,0,24,0.3036969834429576,1.94669993195736,0.0937665381416799,0.13812295202046032,0.800214523323505,0.15107229640998346,0.3539351326831481,0.7278294397822636,0.002154683601723747,0.007371286005897029,24
103,8868,6.533152909336942,5.267933951799375,0,20,11.164749661705006,5.477846345066326,0,20,3.0562697338746054,3.4768831754623366,0.3266576454668471,0.2633966975899679,0.5582374830852503,0.27389231725331675,0.09979702300405954,0.2846188543076229,0.03258908434821831,0.09585024808299504,20
104,8481,9.673151750972762,6.662075649816599,0,24,13.889989388043864,6.992654165324562,0,26,3.612899422237944,6.060252328734819,0.37204429811433704,0.2562336788391,0.5342303610786101,0.26894823712786814,0.04362693078646386,0.16684353260228746,0.027237354085603113,0.07664190543567975,26
105,8878,7.059472854246452,5.777019558322425,0,21,11.146767289930164,5.906730305890461,0,21,4.466208605541789,2.593264248704663,0.3361653740117358,0.2750961694439242,0.5307984423776269,0.2812728717090698,0.13617931966659158,0.2964631673800405,0.043027708943455735,0.12108583014192385,21
106,8862,3.167795080117355,3.1568393464473834,0,18,10.618709095012413,3.9539531363956373,0,19,0.3425863236289777,2.825208756488377,0.15838975400586777,0.15784196732236933,0.5309354547506205,0.19769765681978202,0.1620401715188445,0.5617242157526517,0.012186865267433988,0.03780185059805913,20
107,8145,2.4407612031921424,3.087414787298362,0,20,14.716390423572744,3.3824793766705867,0,20,0.23143032535297728,2.209330877839165,0.12203806015960712,0.1543707393649182,0.7358195211786372,0.1691239688335286,0.24284837323511357,0.681890730509515,0.0019643953345610805,0.009330877839165133,20
108,8880,3.686936936936937,3.579384426000356,0,18,13.35641891891892,4.375969432235261,0,21,0.5461711711711712,3.140765765765766,0.17556842556842556,0.17044687742858836,0.6360199485199486,0.20837949677310716,0.19132882882882882,0.4882882882882883,0.0009009009009009009,0.013963963963963964,21
109,8823,3.033888699988666,3.5161135582309924,0,20,17.427518984472403,4.2030394372747155,1,24,0.677547319505837,2.356341380482829,0.1264120291661944,0.14650473159295777,0.7261466243530168,0.17512664321977908,0.22248668253428538,0.5951490422758698,0.0,0.001813442139861725,24
11,8800,14.660113636363636,8.800670504464245,0,31,14.764204545454545,9.297996956696121,0,31,10.448522727272728,4.211590909090909,0.43117981283422463,0.2588432501313013,0.43424131016042783,0.2734704987263562,0.026818181818181817,0.09170454545454546,0.03215909090909091,0.17125,34
