model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
xgboost,0.07932321320724467,0.00959387653041997,0.060216703336526754,0.0042225179936706166,0.7734692716305516,0.05313881495559366
random_forest,0.08068075809798489,0.011022138019241621,0.06143783587126622,0.005334527388640561,0.7651270584047402,0.06223378616311704
hist_gradient_boosting,0.08287634672211286,0.009226047954490063,0.06270050023262627,0.003633495794545161,0.7526565649762509,0.0555661277197498
linear_regression,0.10998320461877534,0.0091275455460574,0.0820579088553627,0.004007969301662613,0.5577962133004689,0.12286246853541852
elastic_net,0.11567625439650801,0.008687013003797707,0.09316746101210815,0.00661192389689667,0.5249062539736411,0.0388726916638195
